Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
68,Croatia,156.77,43.25,75.33,63.75,56.31,13.91,28.14,30.07,89.89
69,Colombia,101.7,27.92,45.06,66.8,29.02,19.29,47.16,62.44,86.04
70,China,104.96,60.44,68.82,66.62,39.51,28.4,41.44,79.88,78.17
71,Chile,102.02,35.55,50.4,64.38,45.43,17.94,35.16,79.74,90.21
72,Canada,158.88,83.22,59.36,71.77,66.18,8.18,33.84,27.97,52.69
73,Bulgaria,127.14,44.11,61.45,56.2,38.39,9.11,29.45,65.43,82.76
74,Brazil,105.28,30.36,31.69,56.87,30.99,16.47,41.63,54.67,94.1
75,Bosnia And Herzegovina,123.05,41.58,56.43,53.22,36.57,12.15,25.92,61.72,80.48
76,Belgium,149.75,80.12,54.71,74.8,73.59,6.91,36.43,53.66,86.03
77,Belarus,133.52,33.7,74.98,60.03,32.63,15.49,30.21,43.58,64.37
78,Bangladesh,66.29,27.59,36.18,43.08,33.41,14.3,59.01,85.83,72.91
79,Azerbaijan,102.69,27.19,67.88,44.59,31.14,16.45,39.99,76.3,91.4
80,Austria,181.68,79.38,75.57,78.56,71.78,10.85,25.79,21.65,78.22
81,Australia,185.03,103.38,58.33,77.81,75.89,7.44,35,23.22,94.2
82,Argentina,114.21,43.38,37.74,69.16,31.18,24.09,42.99,50.61,98.28
